product;category
Ser maasdam rondeur jansen ;Sery i twarogi
Kubuú - Sok marchew, jab≥ko i brzoskwinia;Soki owocowe i warzywne
o'Sole SÛl peklowa 660 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Soko≥Ûw Sokoliki Szyneczka drobiowa 100 g;WÍdliny
Arctic - Elements Cynk o smaku ananasa wzbogacony cynkiem¬†napÛj niegazowany;Napoje orzeüwiajπce
Kubuú - Sok marchew, brzoskwinia i jab≥ko;Soki owocowe i warzywne
Tesco Døem brzoskwiniowy niskos≥odzony 290 g;Døemy, marmolady i miÛd
P≥atki owsiane b≥yskawiczne ;P≥atki úniadaniowe
Kie≥basa MeksykaÒska ;WÍdliny
Ms Molly's Czekolada mleczna z orzeszkami ziemnymi 100 g;Czekolada
KRESTO Migda≥y p≥atki 150 g;Owoce suszone i orzechy
Syrop Herbapol Owocowa Spiøarnia malina ;Napoje orzeüwiajπce
Lisner Pastella Pasta jajeczna ze szczypiorkiem 96 g;Jaja
Sok jab≥kowo-gruszkowy Royal Apple bezpoúrednio t≥oczony/3l ;Soki owocowe i warzywne
Soko≥Ûw PolÍdwica sopocka 100 g;WÍdliny
Olewnik kaszanka gryczana;Podroby i przetwory podrobowe
Winiary - Galaretka o smaku truskawkowym;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Prymat Pieprz czarny mielony 20 g;SÛl, przyprawy korzenne i zio≥a kulinarne
Sok z brzozy naturalny ;Napoje orzeüwiajπce
NapÛj gazowany Rubicon guava ;Napoje orzeüwiajπce
Perla - Hummus chrzanowy - pasta z ciecierzycy i sezamu z ...;Warzywa suszone i pozosta≥e przetwory warzywne
Makaron 3-jajeczny z semoliny durum-rurka ;Makarony i produkty makaronowe
Papryka s≥odka wÍdzona ;SÛl, przyprawy korzenne i zio≥a kulinarne
Tesco Express Menu! Sa≥atka warzywna z szynkπ 150 g;Warzywa suszone i pozosta≥e przetwory warzywne
Dr. Oetker Galaretka o smaku malinowym 77 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Spichlerz Rusiecki Smalec z miÍskiem i skwarkami;Pozosta≥e t≥uszcze zwierzÍce
Mokate Caffetteria Cappuccino o smaku úmietankowym 110 g;Kawa
Kaktus - Sorbet mango-marakuja i lody wodne o smaku úliwkow...¬†z zielonπ polewπ;Lody
Filety z mintaja bez skÛry produkcji morskiej - najwyøsza jakoúÊ - bez oúci. Glazura oko≥o 1%;Ryby mroøone
Cream Fields Jogurt malinowy 330 g;Jogurt
Lubisie Ciastko biszkoptowe z nadzieniem czekoladowym 30 g;Pozosta≥e wyroby piekarskie
Kubuú Sok marchew brzoskwinia jab≥ko 300 ml;Soki owocowe i warzywne
Szyja z indyka;MiÍso drobiowe
Ananas plastry w lekkim syropie ;Przetwory owocowe
Clipper - herbata Pure Green Tea;Herbata
Zupa Knorr menu ze smakiem krem z kurek;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
GUAWA,GUJAWA,GRUSZLA - 1szt- åWIEØY OWOC;Owoce úwieøe lub ch≥odzone
Smalec ze skwarkami i cebulkπ (0,4 kg);Pozosta≥e t≥uszcze zwierzÍce
Nestle - Musli tropikalne 350 g;P≥atki úniadaniowe
Bakalland - Ba! Chrupiπce musli z miodem, zboøami i øurawinπ;P≥atki úniadaniowe
Symbio - Ekologiczna Quinoa Komosa ryøowa czerwona;Mπka i pozosta≥e zboøa
Cukierki Minties miÍtowe ekstra mocne Goplana;Wyroby cukiernicze
HiPP - Kaszka ryøowa z mlekiem i bananami Bio;ØywnoúÊ dla dzieci
Rolnik Papryka konserwowa 650 g;Warzywa suszone i pozosta≥e przetwory warzywne
Coca Cola - Zero napÛj gazowany o smaku coli w szklanej butelc...;Napoje orzeüwiajπce
Sante Musli tradycyjne 350 g;P≥atki úniadaniowe
Jogurt Bakoma Twist owoce leúne;Jogurt
Wafle Ryøowe ze S≥onecznikiem Kupiec ;Pozosta≥e wyroby piekarskie
Kopernik ToruÒskie Pierniki Katarzynki 100 g;Pozosta≥e wyroby piekarskie
Leúne skarby - Rydz marynowany krojony;Warzywa suszone i pozosta≥e przetwory warzywne
Prymat - Przyprawa do kurczaka;SÛl, przyprawy korzenne i zio≥a kulinarne
Mlekpol Mazurski Smak TwarÛg t≥usty 250 g;Sery i twarogi
Winiary Galaretka z piankπ smak owocÛw leúnych 72 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Bakoma - Jogurt Twist owoce leúne;Jogurt
Herbatka Malwa Skrzyp ;Herbata
Tesco Seler ciÍty 290 g;Warzywa suszone i pozosta≥e przetwory warzywne
Lisner - TuÒczyk w kawa≥kach w sosie w≥asnym;Pozosta≥e przetwory z ryb i owocÛw morza
Margaryna Roúlinna ;Margaryna i inne t≥uszcze roúlinne
GoleÒ ( prÍga ) wo≥owa bez koúci ;MiÍso wo≥owe i cielÍce
Melvit - Trendy Lunch Italy gotowa mieszanka danie w≥oskie ...;Makarony i produkty makaronowe
Smaczna zupa winiary grochowa z grzankami ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
tymianek úwieøy w doniczce duøy;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
2beBio Bio mroøona jagoda 300 g;Owoce mroøone
Herbata Rooibos Astra 75*1,5g rooibos;Herbata
Trawa cytrynowa Royal Brand ;SÛl, przyprawy korzenne i zio≥a kulinarne
Tortex Ketchup ≥agodny 470 g;Sosy, przyprawy
Makaron Rustichella Nidi Tagliatelle ;Makarony i produkty makaronowe
Gerber - Mus z jab≥ek i gruszek;ØywnoúÊ dla dzieci
broku≥y 1 szt;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Tymbark H2Owoc NapÛj malina winogrono jab≥ko borÛwka 400 ml;Napoje orzeüwiajπce
Makar - Daktyle suszone;Owoce suszone i orzechy
Sa≥ata - Pak Choi;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Piπtnica Skyr Jogurt typu islandzkiego z jagodami 150 g;Jogurt
åLIWKI Ø”£TE na wagÍ;Owoce úwieøe lub ch≥odzone
Auchan - Porcje fileta z dorsza atlantyckiego bez skÛry;Ryby mroøone
Bracia Koral Lody jak dawniej o smaku miÍtowym z czekoladπ 450 ml;Lody
Tesco Per≥a Natury Woda ürÛdlana lekko gazowana 500 ml;Wody mineralne lub ürÛdlane
Kakao w Proszku 1kg;Kakao i czekolada w proszku
grzyby brπzowe buna shimeji úwieøe;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Melvit Premium Trendy Lunch pÍczak bulgur soczewica zielona 400 g (4 torebki);Mπka i pozosta≥e zboøa
Lisner - åledü - Filety úledziowe w úmietanie;Pozosta≥e przetwory z ryb i owocÛw morza
karkÛwka z dzika;Pozosta≥e miÍsa
Bazylia w dooniczce;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Deser mleczny Monte choco balls,cacao cookies ;Pozosta≥e produkty mleczne
Baton Cini Minis ;Wyroby cukiernicze
Lipton Yellow Label Herbata czarna 100 g (50 torebek);Herbata
Tesco Polskie WÍdliny Kabanos pikantny 385 g;WÍdliny
Makar - Buraczki suszone;Warzywa suszone i pozosta≥e przetwory warzywne
Pepsi Cola - NapÛj gazowany;Napoje orzeüwiajπce
Crunlight - Chrupki wielozboøowe o smaku papryki s≥odkiej;Chipsy
mleko pasteryzowane pe≥ne;Mleko úwieøe pe≥ne
úwieøa øurawina 500g;Owoce úwieøe lub ch≥odzone
Hellmann's Sos Samba 250 ml;Sosy, przyprawy
Kie≥basa polska surowa d≥ugodojrzewajaca z pieprzem ;WÍdliny
Piotr i Pawe≥ - cukier z dodatkiem malin ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
OgÛrek d≥ugi;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
NaTurek Islos Ser sa≥atkowy zio≥owy 180 g;Sery i twarogi
Placek czeski margo ;Pozosta≥e wyroby piekarskie
Winiary Zupa grzybowa nasza specjalnoúÊ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Mas≥o Extra ;Mas≥o
Øywiec ZdrÛj Niegazowany Woda ürÛdlana 500 ml;Wody mineralne lub ürÛdlane
Czekolada Schogetten trilogia;Czekolada
Bio Planet - Chipsy bananowe nies≥odzone;Przetwory owocowe
Kawa Little's Orzech w≥oski z syropem klonowym;Kawa
WÍdliny Domowe PolÍdwica sopocka 250 g;WÍdliny
Hochland Ser kremowy w plastrach Fit Gouda 130 g (8 sztuk);Sery i twarogi
Serek úmietankowy Wrzeúnia ;Sery i twarogi
Piccolo - Brzoskwinia napÛj bezalkoholowy gazowany o smaku b...;Napoje orzeüwiajπce
Cha≥wa Wedel kakaowo - waniliowa;Wyroby cukiernicze
Grycan Lody waniliowe 125 ml;Lody
Movenpick - kawa mielona;Kawa
Kubuú Waterrr NapÛj o smaku maliny 500 ml;Napoje orzeüwiajπce
Tesco Migda≥y blanszowane 200 g;Owoce suszone i orzechy
Mieszanka przypraw Kotanyi zio≥a prowansalskie ;SÛl, przyprawy korzenne i zio≥a kulinarne
Gellwe Naturalnie Pyszne BudyÒ smak úmietankowy 40 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Knorr Chili z Indii 15 g;SÛl, przyprawy korzenne i zio≥a kulinarne
Bobovita - porcja zbÛø kaszka mleczna bananowo-brzoskwiniowa;ØywnoúÊ dla dzieci
Manukora MiÛd manuka UMF5+ 250 g;Døemy, marmolady i miÛd
Salceson Czarny Kujawski;Podroby i przetwory podrobowe
osoú label rouge úwieøy;Ryby úwieøe lub ch≥odzone
Ser Roquefort Papillon ;Sery i twarogi
Rodzynki su≥taÒskie Bakalland ;Owoce suszone i orzechy
Soko≥Ûw Wo≥owina w sosie w≥asnym premium 300 g;Pozosta≥e przetwory miÍsne
Piotr i Pawe≥ - ocet winny czerwony 6% ;Sosy, przyprawy
Gerber - Deserek jab≥ko, brzoskwinia po 6 miesiπcu;ØywnoúÊ dla dzieci
2beBio Ekologiczna mroøona mieszanka owocowa do smoothie 250 g;Owoce mroøone
Przysmaki ba≥kaÒskie kiopolu. ;Warzywa suszone i pozosta≥e przetwory warzywne
Herbata Big-Active czarna z malinπ i acai ;Herbata
Crunchips - Chipsy X-cut solone;Chipsy
Polarica - Filety úledziowe w oleju a'la Matjas;Pozosta≥e przetwory z ryb i owocÛw morza
£opatka z dzika, mroøona;Pozosta≥e miÍsa
"Mleko czekoladowe Dan""Mleko Danone";Pozosta≥e produkty mleczne
Sok NFC 100%(jab≥ko mango) ;Soki owocowe i warzywne
Kotanyi - M≥ynek sÛl himalajska;SÛl, przyprawy korzenne i zio≥a kulinarne
Kupiec - Ciasteczka zboøowe malina z øurawinπ;Pozosta≥e wyroby piekarskie
Sok pomidorowy eko Symbio;Soki owocowe i warzywne
Haagen-Dazs - Nut Brittle lody waniliowe z kawa≥kami orzechÛw ma...;Lody
Labrax okoÒ morski patroszony;Ryby úwieøe lub ch≥odzone
Minutka Owocowa o smaku malinki z truskawkπ i granatem Herbatka z sokiem 64 g (32 torebki);Herbata
TuÒczyk stek mroøony;Ryby mroøone
Praliny Lindt Lindor kolekcja smakÛw ;Czekolada
Monini Ocet winny czerwony 500 ml;Sosy, przyprawy
Krakersy solone mix Artur ;Pozosta≥e wyroby piekarskie
Tesco Sardynki wÍdzone w oleju s≥onecznikowym 110 g;Pozosta≥e przetwory z ryb i owocÛw morza
Kukurydza Bonduelle Z≥ocista Bio ;Warzywa suszone i pozosta≥e przetwory warzywne
Astra - Delikatny smak £Åagodna kawa mielona;Kawa
Gruszka konferencja 1kg;Owoce úwieøe lub ch≥odzone
Piotr i Pawe≥ - bazylia ;SÛl, przyprawy korzenne i zio≥a kulinarne
Jacobs Barista Edition Americano Kompozycja kawy rozpuszczalnej i zmielonych ziaren kawy 155 g;Kawa
Delecta - Galaretka o smaku cytryny;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Halibut dzwonko mroøony / 300 g;Ryby mroøone
Beli - Ciastka francuskie koperty z pomaraÒczπ;Pozosta≥e wyroby piekarskie
Proste Historie Zupa krem z bia≥ych warzyw 450 g;Gotowe dania
Oliwki Figaro zielone z paprykπ;Warzywa suszone i pozosta≥e przetwory warzywne
Lyrakis Family - Oliwa extra virgin Sitia z Krety;Oliwa z oliwek
Galaretki Wawel Fresh&Fruity owocowe ;Wyroby cukiernicze
Tymbark NapÛj mango miÍta 2 l;Napoje orzeüwiajπce
Ostrygi Holenderskie;Owoce morza úwieøe lub ch≥odzone
Monster Energy Mango Loco Gazowany napÛj energetyczny 500 ml;Napoje orzeüwiajπce
Gerber - Obiadek schab z warzywami i suszonymi úliwkami;ØywnoúÊ dla dzieci
Wasπg Salceson W≥oski;Podroby i przetwory podrobowe
Olej kokosowy Pure Coco Farm ;Pozosta≥e oleje jadalne
Chipsy crunchips pieczone øeberka ;Chipsy
Pomidory bez skÛry Cirio ;Warzywa suszone i pozosta≥e przetwory warzywne
Vitax Inspirations Limonka and Cytryna Herbata owocowo-zio≥owa 40 g (20 torebek);Herbata
MiÛd polski spadziowy ;Døemy, marmolady i miÛd
Ciasto Dr.oetker Bbabka Cytrynowa;Pozosta≥e produkty zboøowe
Bracia Sadownicy - Musujπce jab≥ko napÛj lekko gazowany;Napoje orzeüwiajπce
Serek Wiejski z brzoskwiniπ ;Sery i twarogi
Milka Pieguski Choco Cookie Raisins Ciasteczka z kawa≥kami czekolady mlecznej i rodzynkami 135 g;Pozosta≥e wyroby piekarskie
FRoSTA Ryba z pieca z warzywami 340 g;Pozosta≥e przetwory z ryb i owocÛw morza
NapÛj gazowany oshee witamina c ;Napoje orzeüwiajπce
Ozorki wieprzowe w sosie Szubryt 480 g;Pozosta≥e przetwory miÍsne
Lucka - Woda ürÛdlana dla niemowlπt 1,5L niegazowana,;Wody mineralne lub ürÛdlane
Jeøyna - koszyczek 125g;Owoce úwieøe lub ch≥odzone
Melissa Primo Gusto - Passata pomidorowa tomatera przecier;Warzywa suszone i pozosta≥e przetwory warzywne
Piekarnia Jutrzenka - Bu≥ka tarta;Pozosta≥e produkty zboøowe
Sos grill ;Sosy, przyprawy
Øywiec ZdrÛj Green Tea NapÛj niegazowany zielona herbata miÍta 1,5 l;Napoje orzeüwiajπce
Delecta Kisiel smak wiúniowy 58 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Tesco Polanicka NapÛj gazowany smak truskawki 500 ml;Napoje orzeüwiajπce
Szponder wo≥owy ;MiÍso wo≥owe i cielÍce
DecoMorreno MV109 czekolada do picia 1kg;Kakao i czekolada w proszku
Lody lodowa finezja úmietan. trusk. z trusk. i sosem truskawkowym ;Lody
T≥ocznia Maurera - T≥oczony sok z kiszonych buraczkÛw i jab≥ek;Soki owocowe i warzywne
JAB£KA POLSKIE 5KG åWIEØE SOCZYSTE! RED PRINCE;Owoce úwieøe lub ch≥odzone
Ciastka blueberry&coconut tivoli ;Pozosta≥e wyroby piekarskie
HiPP - Sok ze s≥odkich jab≥ek;Soki owocowe i warzywne
Celiko - BudyÒ malinowy bezglutenowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Fitella Musli chrupkie bananowe z kawa≥kami czekolady 50 g;P≥atki úniadaniowe
Salami BretoÒskie ;WÍdliny
Rolnik - Seler z ananasem;Warzywa suszone i pozosta≥e przetwory warzywne
morele - kg;Owoce úwieøe lub ch≥odzone
Tesco Olej s≥onecznikowy 1 l;Pozosta≥e oleje jadalne
Angus beef burger USA 2 pieces (2x125g) - produkt mroøony;MiÍso wo≥owe i cielÍce
Iga - Muffinki;Pozosta≥e wyroby piekarskie
Danone Fantasia Jogurt kremowy z czekoladπ mlecznπ 110 g;Jogurt
Indykpol - Jedynki Samo dobro kie≥basa z indyka;WÍdliny
Kotlety Orico ;Gotowe dania
Ania - Herbatniki mini ania jungle;Pozosta≥e wyroby piekarskie
Serek úmietankowy ≥aciaty meksykaÒski ;Sery i twarogi
Herbatniki Petitki ;Pozosta≥e wyroby piekarskie
Tesco Pomidory malinowe 500 g;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Graal - Paprykarz SzczeciÒski z ≥ososiem;Pozosta≥e przetwory z ryb i owocÛw morza
Profi Konserwa Szynka z Kurczaka 110 g;Pozosta≥e przetwory miÍsne
Tesco Serek twarogowy napowietrzany 150 g;Sery i twarogi
Tort Migda≥owy ;Pozosta≥e wyroby piekarskie
Kamis - Bazylia przyprawa;SÛl, przyprawy korzenne i zio≥a kulinarne
FRISCO FRESH MiÍso z udüca jagniÍcego na gulasz;MiÍso baranie i kozie
Cock Brand - Tapioka - pere≥ki;Pozosta≥e produkty zboøowe
Firma Roleski Delikatesowa Musztarda sarepska 175 g;Sosy, przyprawy
OgÛrek kiszony Victus ;Warzywa suszone i pozosta≥e przetwory warzywne
Chio Nachos Ser Maasdamer Chipsy kukurydziane 190 g;Chipsy
Amino Zupa b≥yskawiczna grochÛwka z boczkiem i majerankiem 65 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Knorr Fix spaghetti bolognese extra zio≥owe 48 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Czekolada  bezglutenowa Chocokiss Kocham CiÍ ;Czekolada
Physalis- Miechunka - opakowanie 100g;Owoce úwieøe lub ch≥odzone
Ser Ricotta Fresca Biragahi ;Sery i twarogi
1kg MLEKO W PROSZKU ODT£USZCZONE 0% NISKO-OGRZEWANE Klasa I OSM;Mleko zagÍszczone i w proszku
FRISCO FRESH PolÍdwiczki wieprzowe ekstra oczyszczone;MiÍso wieprzowe
Guma do øucia Orbit lemon lime ;Wyroby cukiernicze
Hortex Vitaminka Marchewka Sok 1 l;Soki owocowe i warzywne
Auchan - Kasza gryczana praøona ca≥a;Mπka i pozosta≥e zboøa
Szubryt Konserwa podobna do tej PRLu 300 g;Pozosta≥e przetwory miÍsne
Mars Rozpuszczalna Super Gorπca Czekolada Instant;Kakao i czekolada w proszku
Duda Specialite Szynka naturalna bez fosforanÛw;WÍdliny
Winiary Pomys≥ na...kurczaka z pieczarkami ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
NapÛj Rooibos herbata+imbir soti natural ;Napoje orzeüwiajπce
FRoSTA Fish Nuggets z fileta 240 g (12 sztuk);Pozosta≥e przetwory z ryb i owocÛw morza
Bebiko - Mleko 2 modyfikowane;ØywnoúÊ dla dzieci
£Åowicz åmietanka do kawy ≥owicka UHT 10% 200 ml (20 x 10 ml);Pozosta≥e produkty mleczne
Kawa rozpuszczalna liofilizowana ;Kawa
Kupiec - Ryø Parboiled w torebkach;Ryø
Fasola Bonduelle flaøoletka;Warzywa suszone i pozosta≥e przetwory warzywne
Kajzerka z sezamem 60 g;Pieczywo
Knorr RosÛ≥ z kury 60 g (6 kostek);Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Migda≥y Kresto ;Owoce suszone i orzechy
Sante - Musli tropikalne;P≥atki úniadaniowe
Oliwa Colavita ;Oliwa z oliwek
Bonduelle - Groszek konserwowy;Warzywa suszone i pozosta≥e przetwory warzywne
Rio Mare TuÒczyk w sosie w≥asnym 160 g;Pozosta≥e przetwory z ryb i owocÛw morza
Glutenex - Chleb maúlany bezglutenowy;Pieczywo
Krakus ParÛwki z szynki 200 g;WÍdliny
Nestle - Baton úniadaniowy nesquik;Pozosta≥e wyroby piekarskie
Zott Jogobella truskawka i poziomka Jogurt 150 g;Jogurt
Kupiec - Owsianka Coú na zπb malina z øurawinπ;Pozosta≥e produkty zboøowe
Skrzyd≥a z kurczaka;MiÍso drobiowe
Tesco Jogurt naturalny 150 g;Jogurt
úwieøa sielawa;Ryby úwieøe lub ch≥odzone
malina wczesna;Owoce úwieøe lub ch≥odzone
Nowy Wiúnicz - Pierogi z ≥ososiem, szpinakiem i serem;Pizza i inne pÛ≥produkty mπczne
Kompot agrestowy 900ml;Døemy, marmolady i miÛd
EvraMeat Konserwa Luncheon 300 g;Pozosta≥e przetwory miÍsne
Mancuso - zabajone kremowe lody úmietankowo jajeczne;Lody
Yer-Vita - Herbata  ekspresowa, 25 torebek;Herbata
E. Wedel Premium Czekolada gorzka 64% 220 g;Czekolada
Filet z miruny ze skÛrπ 0% glazury - Talley`s 1kg;Ryby mroøone
Mroøone kalmary krπøki 3-7cm;Owoce morza mroøone
Tesco Sok z mandarynek pomaraÒczy i grejpfruta 1 l;Soki owocowe i warzywne
Ocet Develey z czerwonego wina;Sosy, przyprawy
Podniesiony Kciuk - Salami naturalne 200g;WÍdliny
Sertop Tychy Ser topiony z szynkπ 100 g;Sery i twarogi
Soja w zalewie Soja w zalewie/400g;Warzywa suszone i pozosta≥e przetwory warzywne
szczaw czerwony;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Herbata zio≥a mnicha oczyszczenie 20*2g ;Herbata
NapÛj Popcorn Tea herbata kukurydziana soti natural ;Napoje orzeüwiajπce
Danone Activia Jogurt suszona úliwka 300 g;Jogurt
Auchan - Sok warzywny z burakiem Êwik≥owym;Soki owocowe i warzywne
Mleko pÛ≥t≥uste Rio;Mleko úwieøe niskot≥uszczowe
Gruszka BIO IMPORT 1 kg;Owoce úwieøe lub ch≥odzone
Lubella Makaron spaghetti 300 g;Makarony i produkty makaronowe
πÜwik≥a Rolnik z chrzanem;Warzywa suszone i pozosta≥e przetwory warzywne
GoleÒ wo≥owa bez koúci - polska wo≥owina 0,5kg;MiÍso wo≥owe i cielÍce
Draøe m&m's czekoladowe ;Wyroby cukiernicze
Marila - Kawa Cafe Crema ziarnista;Kawa
Jogurt skyr z truskawkami ;Jogurt
Rolnik Papryka ciÍta 455 g;Warzywa suszone i pozosta≥e przetwory warzywne
Crunlight - Chrupki wielozboøowe o smaku pomidora i bazylii;Chipsy
Cenos Ryø bia≥y d≥ugi 400 g (4 torebki);Ryø
Sonko Fit Opiekane pe≥noziarniste p≥atki øytnie 200 g;P≥atki úniadaniowe
Czekolada Danusia classic;Czekolada
Red Bull NapÛj energetyczny owoce tropikalne 250 ml;Napoje orzeüwiajπce
Danie Gryczotto z kurczakiem ;Gotowe dania
Piπtnica TwÛj Smak Serek úmietankowy ze szczypiorkiem 135 g;Sery i twarogi
Mroøony Filet z dzikiego ≥ososia ;Ryby mroøone
Kie≥basa sucha krakowska wieprzowa extra ;WÍdliny
Salceson zPodlaskiej Chaty;Podroby i przetwory podrobowe
Oliwa Goya ;Oliwa z oliwek
Party Snack Orzeszki ziemne solone 100 g;Przetwory owocowe
Ketchup ≥agodny MiÍdzychÛd ;Sosy, przyprawy
Balcerzak Kie≥baski koktajlowe 150 g;WÍdliny
Melvit - Crispy Vegan pieczywo chrupkie øytnie;Pozosta≥e wyroby piekarskie
Risana Ryø bia≥y 500 g (4 torebki);Ryø
Draøe Mars Bites ;Wyroby cukiernicze
Øywiec ZdrÛj - Woda ürÛdlana niegazowana, 6 x 0,5 L;Wody mineralne lub ürÛdlane
Sertop Tychy Ser topiony z≥oty ementaler 100 g;Sery i twarogi
Przysnacki Praøynki o smaku bekon 140 g;Chipsy
Limonka - sztuka waga oko≥o 160g;Owoce úwieøe lub ch≥odzone
Hummus tradycyjny ;Warzywa suszone i pozosta≥e przetwory warzywne
Tarczyn - Nektar z czarnych porzeczek z soku zagÍszczonego;Soki owocowe i warzywne
Incola - Spaghetti alla Chitarra Makaron bezglutenowy;Makarony i produkty makaronowe
Sir Roger Herbata zielona liúciasta 100 g;Herbata
Soul-Farm Erytrytol naturalny s≥odzik Erytrol 250g;Sztuczne substytuty cukru
Apis MiÛd ze spadzi iglastej spadziowy 350 g;Døemy, marmolady i miÛd
£Åowicz Konfitura extra z wiúni niskos≥odzona 240 g;Døemy, marmolady i miÛd
Mlekovita Ser Dziurdamer;Sery i twarogi
