kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
13.93;'1393';Manufacture of carpets and rugs;manufacture of textile floor coverings, e.g.: carpets, rugs and mats, tiles;"manufacture of needle-loom felt floor coverings; manufacture of artificial grass (synthetic turf)";Produkcja dywanów i chodników
13.94;'1394';Manufacture of cordage, rope, twine and netting;"manufacture of twine, cordage, rope and cables of textile fibres or strip, etc., whether or not impregnated, coated, covered or sheathed with rubber or plastics; manufacture of knotted netting of twine, cordage or rope; manufacture of products of rope or netting (e.g. fishing nets, ships’ fenders, unloading cushions, loading slings, rope or cable fitted with metal rings, etc.) ";;Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych
13.95;'1395';Manufacture of non-wovens and non-woven articles;Manufacture of non-wovens, whether or not impregnated, coated, covered or laminated with plastics or rubber. It also includes the manufacture of non-wovens in which plastics or rubber forms the bonding substance.;"manufacture of non-woven sheets used for production of wound care dressings; manufacture of non-woven fabric used for production of baby wipes";Produkcja włóknin i wyrobów wykonanych z włókniny
13.96;'1396';Manufacture of other technical and industrial textiles;"manufacture of narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive; manufacture of labels, badges, etc.; manufacture of ornamental trimmings: braids, tassels, pompons, etc.;  manufacture of textile fabrics impregnated, coated, covered or laminated with plastics; manufacture of metallised yarn, rubber thread and cord covered with textile material, textile yarn covered, impregnated, coated or sheathed with rubber or plastics; manufacture of tyre cord fabric of high-tenacity man-made yarn; manufacture of other treated or coated fabrics (e.g. buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances); manufacture of diverse textile articles (e.g. textile wicks, incandescent gas mantles, tubular gas); manufacture of mantle fabric, hose piping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth; manufacture of automotive trimmings; manufacture of artists' canvas boards and tracing cloth; manufacture of tarpaulins, tents, pneumatic matresses, sails, parachutes, textiles for blinds and sunblinds, loose covers for cars, machines or furniture";manufacture of fabrics of glass fibres;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych
13.99;'1399';Manufacture of other textiles n.e.c.;"manufacture of felt; manufacture of tulles and other net fabrics, of lace and embroidery, in the piece, in strips or in motifs; manufacture of pressure-sensitive cloth-tape; manufacture of shoelaces, of textiles; manufacture of net and window furnishing type fabrics of lace";;Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana
14.sty;'1410';Manufacture of knitted and crocheted apparel;"manufacture of hosiery, including socks, tights and pantyhose; manufacture of knitted or crocheted wearing apparel (e.g. pullovers, cardigans, jerseys, shirts, T-shirts, blouses, waistcoats, nightwear, underwear, including babies’  wear); manufacture of knitted and crocheted sportswear and swimwear";"manufacture of medical stockings and hosiery; manufacture of footwear without applied soles, knitted or crocheted";Produkcja odzieży dzianej
14.21;'1421';Manufacture of outerwear;manufacture of outerwear, other than knitted or crocheted (e.g. pullovers, cardigans, jerseys, coats, suits, ensembles, jackets, trousers, skirts, shirts, T-shirts, blouses, babies’ outerwear garments);"bridal dresses and other clothes for ceremony; custom tailoring";Produkcja odzieży wierzchniej
14.22;'1422';Manufacture of underwear;manufacture of woven underwear and nightwear, other than knitted or crocheted (e.g. underpants, briefs, pyjamas, nightdresses, dressing gowns, slips, brassieres, corsets, swimwear, babies’ underwear garments);manufacture of brassieres and corsets of all types of textile materials;Produkcja bielizny
14.23;'1423';Manufacture of workwear;Manufacture of workwear;manufacture of uniforms and similar official clothing (e.g. judge’s gowns, church vestments);Produkcja odzieży roboczej
14.24;'1424';Manufacture of leather clothes and fur apparel;"manufacture of wearing apparel, including working clothes, made of leather or composition leather (e.g. coats, overcoats, jackets, trousers, aprons); manufacture of articles made of fur skins: fur wearing apparel and clothing accessories; assemblies of fur skins (e.g. ‘dropped’ fur skins, plates, mats, strips); diverse articles of fur skins: rugs, unstuffed pouffes, industrial polishing cloths";;Produkcja odzieży skórzanej i wyrobów futrzarskich
14.29;'1429';Manufacture of other wearing apparel and accessories n.e.c.;"manufacture of sportswear of broad woven fabrics (e.g. tracksuits, ski suits, other technical sportswear); manufacture of hats and caps; manufacture of other clothing accessories (e.g. gloves, belts, shawls, ties, cravats, hairnets)";manufacture of footwear of textile material without applied soles, except knitted or crocheted;Produkcja pozostałej odzieży i dodatków do odzieży, gdzie indziej niesklasyfikowana
15.lis;'1511';Tanning, dressing, dyeing of leather and fur;"tanning, dyeing and dressing of hides, skins and pre-tanned leather; manufacture of chamois dressed, parchment dressed, patent or metallised leathers; manufacture of composition leather; scraping, shearing, plucking, currying, tanning, bleaching and dyeing of fur skins and hides with the hair on";;Garbowanie, barwienie, wyprawa skór i futer
15.gru;'1512';Manufacture of luggage, handbags, saddlery and harness of any material;"manufacture of luggage, handbags, backpacks, etc., of leather, composition leather or any other material where the same technology is used as for leather; manufacture of saddlery and harness for any animal; manufacture of non-metallic watch bands (e.g. fabric, leather, plastic); manufacture of diverse articles of leather or composition leather (e.g. driving belts, packings); manufacture of shoelaces, of leather; manufacture of horse whips and riding crops";manufacture of leather clothes for animals;"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich z dowolnego materiału"
15.lut;'1520';Manufacture of footwear;" manufacture of footwear for all purposes, of any material, by any process, including moulding; manufacture of leather parts of footwear (e.g. manufacture of uppers and parts of uppers, outer and inner soles, heels); manufacture of gaiters, chaps and similar articles";manufacture of rubber, wooden or plastic parts of footwear;Produkcja obuwia
16.lis;'1611';Sawmilling and planing of wood;"sawing, planing and machining of wood; slicing, peeling or chipping logs; manufacture of wooden railway sleepers; manufacture of unassembled wooden flooring; manufacture outside the forest of wood wool, wood sawdust and flour, wood chips and particles";;Produkcja wyrobów tartacznych
16.gru;'1612';Processing and finishing of wood;"This class includes general activities for the processing and finishing of wood, which are typically carried out on a fee or contract basis: activities mostly carried out on a fee or contract basis: boring, turning, milling, broaching, levelling, grinding, polishing, splicing, etc., of wood; drying of wood; impregnation or chemical treatment of wood; treatment of wood in the rough with paint, stains or other preservatives; other activities of processing and finishing of wood ";;Obróbka i wykończanie drewna
16.21;'1621';Manufacture of veneer sheets and wood-based panels;"manufacture of veneer sheets thin enough to be used for veneering, making plywood or other purposes: smoothed, dyed, coated, impregnated, reinforced (with paper or fabric backing); made in the form of motifs; manufacture of plywood, veneer panels and similar laminated wood boards and sheets; manufacture of oriented strand board (OSB) and other particle board; manufacture of medium density fibreboard (MDF) and other fibreboard; manufacture of densified wood; manufacture of glue-laminated wood, cross-laminated timber (CLT) and laminated veneer wood";manufacture of insulating fibreboards of wood, or other ligneous materials, whether or not bonded with resins or other organic substances;Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna
16.22;'1622';Manufacture of assembled parquet floors; manufacture of wooden parquet floor blocks, strips, etc., assembled into panels;;Produkcja gotowych parkietów podłogowych
16.23;'1623';Manufacture of other builders’ carpentry and joinery;"manufacture of wooden goods intended to be used primarily in the construction industry: beams, rafters, roof struts; glue-laminated and metal connected, prefabricated wooden roof trusses; stairs, railings; wooden beadings and mouldings, shingles and shakes; manufacture of prefabricated buildings, or elements thereof, predominantly of wood (e.g. saunas); manufacture of mobile homes and house trailers; manufacture of wood partitions (except free-standing)";manufacture of wooden stands;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa
